
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
         1  11  5.663058E+05  1.238374E+06  3.370006E+07 -9.837037E+04  4.398878E+05  1.535587E+06
         1  12  9.725857E+05  1.367312E+06  3.574540E+07  6.170643E+05 -2.789095E+05  1.959444E+06
         1  13 -8.825680E+05 -1.315372E+06  1.492946E+07 -9.404132E+05  4.913931E+05  5.676743E+05
         1  14 -5.243715E+05 -1.161461E+06  1.693345E+07 -2.057781E+05  1.150454E+05  1.387201E+06
         1  15 -1.894008E+05 -1.035852E+06  1.888831E+07  5.122546E+05 -3.043776E+05  1.781296E+06
         1  16 -1.671466E+06 -3.491681E+06 -1.243146E+06 -1.033031E+06 -7.590379E+04  8.818615E+05
         1  17 -1.365906E+06 -3.322426E+06  7.139280E+05 -2.957982E+05 -1.444578E+05  1.679344E+06
         1  18 -1.090367E+06 -3.188269E+06  2.606028E+06  4.248324E+05 -2.625173E+05  2.050413E+06
         1  19 -7.165174E+05 -8.489669E+05  3.110370E+07  4.320176E+04 -1.490527E+06  2.990921E+05
         1  20 -1.313722E+05 -4.859069E+05  3.414633E+07 -5.569837E+03 -9.528906E+05  2.148017E+05
         1  21  4.343939E+05 -1.512345E+05  3.715274E+07 -8.380423E+04 -4.518998E+05 -3.029977E+05
         1  22 -4.017650E+05 -2.823950E+05  1.545126E+07 -2.147581E+04 -8.643260E+05  1.313843E+06
         1  23 -9.180580E+04 -7.388375E+04  1.798649E+07 -6.563703E+04 -6.182684E+05  1.273589E+06
         1  24  1.919787E+05  9.944437E+04  2.046965E+07 -1.392610E+05 -4.152860E+05  7.988440E+05
         1  25  1.641777E+05  5.171382E+05  3.241577E+05 -5.529755E+04 -1.589393E+05  2.762389E+06
         1  26  2.108281E+05  5.829778E+05  2.379708E+06 -9.484839E+04 -2.024707E+05  2.772907E+06
         1  27  2.245082E+05  6.068388E+05  4.367336E+06 -1.638620E+05 -2.955076E+05  2.347949E+06
         2   1  1.304973E+07  1.350932E+07  4.197600E+07 -1.901717E+05 -2.869508E+05  3.663283E+06
         2   2  1.422409E+07  1.463005E+07  4.508716E+07  1.424192E+05 -2.467010E+06  2.999846E+06
         2   3  1.543583E+07  1.578753E+07  4.828620E+07  4.779432E+05 -4.709992E+06  1.921022E+06
         2   4  6.841224E+06  6.676964E+06  2.315210E+07 -2.270928E+05 -2.524785E+05  2.144809E+06
         2   5  7.832340E+06  7.602279E+06  2.582247E+07  1.062349E+05 -1.533996E+06  1.376877E+06
         2   6  8.856622E+06  8.560120E+06  2.857086E+07  4.424957E+05 -2.873396E+06  1.930103E+05
         2   7  8.798182E+05  8.959985E+04  4.897748E+06 -2.671697E+05 -1.741347E+05  1.073980E+06
         2   8  1.677082E+06  8.088833E+05  7.102546E+06  6.689483E+04 -5.552958E+05  1.961306E+05
         2   9  2.503288E+06  1.556471E+06  9.375514E+06  4.038925E+05 -9.893001E+05 -1.098201E+06
         2  10  1.891109E+05  1.016165E+06  3.640477E+07 -3.939984E+05  8.191646E+04  1.993790E+06
         2  11  2.764573E+05  1.066650E+06  3.805348E+07  3.189341E+05 -5.831156E+05  1.690179E+06
         2  12  3.995477E+05  1.150048E+06  3.978842E+07  1.044879E+06 -1.311070E+06  9.655514E+05
         2  13 -9.644482E+05 -1.379880E+06  1.955444E+07 -4.572765E+05 -7.677013E+04  1.795032E+06
         2  14 -8.074587E+05 -1.313779E+06  2.130690E+07  2.589250E+05 -4.396016E+05  1.450634E+06
         2  15 -6.189482E+05 -1.218988E+06  2.313574E+07  9.881393E+05 -8.603159E+05  6.846727E+05
