
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        20  26 -1.347263E+05  9.297365E+05  2.386360E+06  1.327725E+05 -5.314735E+07  8.500278E+06
        20  27 -7.319498E+05  7.319498E+05  8.063716E-06 -1.469184E-07 -2.777091E+07  2.777091E+07
        21   1 -7.618053E+05  7.618053E+05 -7.144415E-07  2.938367E-07  2.596779E+07 -2.596779E+07
        21   2  1.748999E+04  1.127111E+06  2.825391E+06  1.387090E+05  4.973829E+07 -7.925472E+06
        21   3 -1.167880E+06 -1.340210E+05  7.283365E+05  3.072865E+05  7.350525E+07 -2.745138E+05
        21   4 -1.127111E+06 -1.748999E+04 -2.825391E+06 -1.387090E+05  7.925472E+06 -4.973829E+07
        21   5 -2.880793E+05  2.880793E+05  1.687579E-06 -5.876735E-07  2.132527E+07 -2.132527E+07
        21   6 -4.454274E+05 -6.450527E+04  1.622768E+05  1.685774E+05  3.472306E+07 -3.295981E+06
        21   7  1.340210E+05  1.167880E+06 -7.283365E+05 -3.072865E+05  2.745138E+05 -7.350525E+07
        21   8  6.450527E+04  4.454274E+05 -1.622768E+05 -1.685774E+05  3.295981E+06 -3.472306E+07
        21   9 -3.310609E+04  3.310609E+04  3.473970E-06 -7.345919E-07  6.316998E+06 -6.316998E+06
        21  10 -7.997480E+05  7.997480E+05 -1.223913E-06  1.322265E-06  2.273071E+07 -2.273071E+07
        21  11 -7.239911E+04  1.091017E+06  2.787596E+06  1.456333E+05  4.354637E+07 -6.934716E+06
        21  12 -1.286849E+06 -1.907973E+05  6.756129E+05  3.242234E+05  6.435849E+07 -2.390378E+05
        21  13 -1.091017E+06  7.239911E+04 -2.787596E+06 -1.456333E+05  6.934716E+06 -4.354637E+07
        21  14 -2.977547E+05  2.977547E+05  1.760581E-06  1.175347E-06  1.866943E+07 -1.866943E+07
        21  15 -4.780061E+05 -8.168910E+04  1.473481E+05  1.785902E+05  3.040216E+07 -2.885191E+06
        21  16  1.907973E+05  1.286849E+06 -6.756129E+05 -3.242234E+05  2.390378E+05 -6.435849E+07
        21  17  8.168910E+04  4.780061E+05 -1.473481E+05 -1.785902E+05  2.885191E+06 -3.040216E+07
        21  18 -3.264849E+04  3.264849E+04  2.439948E-06  1.763020E-06  5.530895E+06 -5.530895E+06
        21  19 -8.259269E+05  8.259269E+05  4.642858E-06  4.701388E-06  1.949363E+07 -1.949363E+07
        21  20 -1.466734E+05  1.052146E+06  2.753652E+06  1.499901E+05  3.735445E+07 -5.943961E+06
        21  21 -1.386353E+06 -2.413656E+05  6.305913E+05  3.360257E+05  5.521173E+07 -2.035618E+05
        21  22 -1.052146E+06  1.466734E+05 -2.753652E+06 -1.499901E+05  5.943961E+06 -3.735445E+07
        21  23 -3.008012E+05  3.008012E+05  4.441009E-06  2.644531E-06  1.601360E+07 -1.601360E+07
        21  24 -5.001048E+05 -9.651605E+04  1.362704E+05  1.860355E+05  2.608125E+07 -2.474401E+06
        21  25  2.413656E+05  1.386353E+06 -6.305913E+05 -3.360257E+05  2.035618E+05 -5.521173E+07
        21  26  9.651605E+04  5.001048E+05 -1.362704E+05 -1.860355E+05  2.474401E+06 -2.608125E+07
        21  27 -3.069670E+04  3.069670E+04  1.849990E-06  8.815102E-07  4.744791E+06 -4.744791E+06
        22   1  1.167880E+06  1.340210E+05 -7.283365E+05  3.072865E+05  7.350525E+07  2.745138E+05
        22   2 -1.748999E+04 -1.127111E+06 -2.825391E+06  1.387090E+05  4.973829E+07  7.925472E+06
        22   3  7.618053E+05 -7.618053E+05 -2.069913E-05 -1.909939E-06  2.596779E+07  2.596779E+07
        22   4  4.454274E+05  6.450527E+04 -1.622768E+05  1.685774E+05  3.472306E+07  3.295981E+06
        22   5  2.880793E+05 -2.880793E+05 -1.044972E-05 -1.322265E-06  2.132527E+07  2.132527E+07
        22   6  1.127111E+06  1.748999E+04  2.825391E+06 -1.387090E+05  7.925472E+06  4.973829E+07
        22   7  3.310609E+04 -3.310609E+04 -6.108106E-07  5.876735E-07  6.316998E+06  6.316998E+06
        22   8 -6.450527E+04 -4.454274E+05  1.622768E+05 -1.685774E+05  3.295981E+06  3.472306E+07
        22   9 -1.340210E+05 -1.167880E+06  7.283365E+05 -3.072865E+05  2.745138E+05  7.350525E+07
        22  10  1.286849E+06  1.907973E+05 -6.756129E+05  3.242234E+05  6.435849E+07  2.390378E+05
        22  11  7.239911E+04 -1.091017E+06 -2.787596E+06  1.456333E+05  4.354637E+07  6.934716E+06
        22  12  7.997480E+05 -7.997480E+05 -1.759576E-05  2.938367E-07  2.273071E+07  2.273071E+07
        22  13  4.780061E+05  8.168910E+04 -1.473481E+05  1.785902E+05  3.040216E+07  2.885191E+06
        22  14  2.977547E+05 -2.977547E+05 -1.007236E-05  1.175347E-06  1.866943E+07  1.866943E+07
        22  15  1.091017E+06 -7.239911E+04  2.787596E+06 -1.456333E+05  6.934716E+06  4.354637E+07
        22  16  3.264849E+04 -3.264849E+04 -1.711300E-06  3.379123E-06  5.530895E+06  5.530895E+06
        22  17 -8.168910E+04 -4.780061E+05  1.473481E+05 -1.785902E+05  2.885191E+06  3.040216E+07
        22  18 -1.907973E+05 -1.286849E+06  6.756129E+05 -3.242234E+05  2.390378E+05  6.435849E+07
        22  19  1.386353E+06  2.413656E+05 -6.305913E+05  3.360257E+05  5.521173E+07  2.035618E+05
        22  20  1.466734E+05 -1.052146E+06 -2.753652E+06  1.499901E+05  3.735445E+07  5.943961E+06
        22  21  8.259269E+05 -8.259269E+05 -2.237275E-05  3.526041E-06  1.949363E+07  1.949363E+07
        22  22  5.001048E+05  9.651605E+04 -1.362704E+05  1.860355E+05  2.608125E+07  2.474401E+06
        22  23  3.008012E+05 -3.008012E+05 -1.079801E-05  2.497612E-06  1.601360E+07  1.601360E+07
        22  24  1.052146E+06 -1.466734E+05  2.753652E+06 -1.499901E+05  5.943961E+06  3.735445E+07
        22  25  3.069670E+04 -3.069670E+04 -8.515035E-07  2.350694E-06  4.744791E+06  4.744791E+06
        22  26 -9.651605E+04 -5.001048E+05  1.362704E+05 -1.860355E+05  2.474401E+06  2.608125E+07
        22  27 -2.413656E+05 -1.386353E+06  6.305913E+05 -3.360257E+05  2.035618E+05  5.521173E+07
        23   1 -1.340210E+05 -1.167880E+06  7.283365E+05 -3.072865E+05 -2.745138E+05 -7.350525E+07
        23   2 -6.450527E+04 -4.454274E+05  1.622768E+05 -1.685774E+05 -3.295981E+06 -3.472306E+07
        23   3  3.310609E+04 -3.310609E+04  6.395021E-06 -4.407551E-07 -6.316998E+06 -6.316998E+06
        23   4  1.127111E+06  1.748999E+04  2.825391E+06 -1.387090E+05 -7.925472E+06 -4.973829E+07
        23   5  2.880793E+05 -2.880793E+05  1.453760E-05  1.028429E-06 -2.132527E+07 -2.132527E+07
        23   6  4.454274E+05  6.450527E+04 -1.622768E+05  1.685774E+05 -3.472306E+07 -3.295981E+06
        23   7  7.618053E+05 -7.618053E+05  2.602965E-05  1.469184E-07 -2.596779E+07 -2.596779E+07
        23   8 -1.748999E+04 -1.127111E+06 -2.825391E+06  1.387090E+05 -4.973829E+07 -7.925472E+06
        23   9  1.167880E+06  1.340210E+05 -7.283365E+05  3.072865E+05 -7.350525E+07 -2.745138E+05
        23  10 -1.907973E+05 -1.286849E+06  6.756129E+05 -3.242234E+05 -2.390378E+05 -6.435849E+07
        23  11 -8.168910E+04 -4.780061E+05  1.473481E+05 -1.785902E+05 -2.885191E+06 -3.040216E+07
        23  12  3.264849E+04 -3.264849E+04  5.207944E-06  1.469184E-07 -5.530895E+06 -5.530895E+06
        23  13  1.091017E+06 -7.239911E+04  2.787596E+06 -1.456333E+05 -6.934716E+06 -4.354637E+07
        23  14  2.977547E+05 -2.977547E+05  1.359971E-05  1.469184E-07 -1.866943E+07 -1.866943E+07
        23  15  4.780061E+05  8.168910E+04 -1.473481E+05  1.785902E+05 -3.040216E+07 -2.885191E+06
        23  16  7.997480E+05 -7.997480E+05  2.607356E-05 -1.175347E-06 -2.273071E+07 -2.273071E+07
        23  17  7.239911E+04 -1.091017E+06 -2.787596E+06  1.456333E+05 -4.354637E+07 -6.934716E+06
        23  18  1.286849E+06  1.907973E+05 -6.756129E+05  3.242234E+05 -6.435849E+07 -2.390378E+05
        23  19 -2.413656E+05 -1.386353E+06  6.305913E+05 -3.360257E+05 -2.035618E+05 -5.521173E+07
        23  20 -9.651605E+04 -5.001048E+05  1.362704E+05 -1.860355E+05 -2.474401E+06 -2.608125E+07
        23  21  3.069670E+04 -3.069670E+04  4.709925E-06 -4.407551E-07 -4.744791E+06 -4.744791E+06
        23  22  1.052146E+06 -1.466734E+05  2.753652E+06 -1.499901E+05 -5.943961E+06 -3.735445E+07
        23  23  3.008012E+05 -3.008012E+05  1.167916E-05  8.815102E-07 -1.601360E+07 -1.601360E+07
        23  24  5.001048E+05  9.651605E+04 -1.362704E+05  1.860355E+05 -2.608125E+07 -2.474401E+06
        23  25  8.259269E+05 -8.259269E+05  1.770597E-05  5.876735E-07 -1.949363E+07 -1.949363E+07
        23  26  1.466734E+05 -1.052146E+06 -2.753652E+06  1.499901E+05 -3.735445E+07 -5.943961E+06
        23  27  1.386353E+06  2.413656E+05 -6.305913E+05  3.360257E+05 -5.521173E+07 -2.035618E+05
        24   1 -3.310609E+04  3.310609E+04  2.619601E-06  5.876735E-07 -6.316998E+06  6.316998E+06
        24   2  6.450527E+04  4.454274E+05 -1.622768E+05 -1.685774E+05 -3.295981E+06  3.472306E+07
        24   3  1.340210E+05  1.167880E+06 -7.283365E+05 -3.072865E+05 -2.745138E+05  7.350525E+07
        24   4 -4.454274E+05 -6.450527E+04  1.622768E+05  1.685774E+05 -3.472306E+07  3.295981E+06
        24   5 -2.880793E+05  2.880793E+05  1.661115E-06 -1.028429E-06 -2.132527E+07  2.132527E+07
        24   6 -1.127111E+06 -1.748999E+04 -2.825391E+06 -1.387090E+05 -7.925472E+06  4.973829E+07
        24   7 -1.167880E+06 -1.340210E+05  7.283365E+05  3.072865E+05 -7.350525E+07  2.745138E+05
        24   8  1.748999E+04  1.127111E+06  2.825391E+06  1.387090E+05 -4.973829E+07  7.925472E+06
        24   9 -7.618053E+05  7.618053E+05  2.140396E-06 -2.350694E-06 -2.596779E+07  2.596779E+07
        24  10 -3.264849E+04  3.264849E+04  1.341437E-06  7.345919E-07 -5.530895E+06  5.530895E+06
        24  11  8.168910E+04  4.780061E+05 -1.473481E+05 -1.785902E+05 -2.885191E+06  3.040216E+07
        24  12  1.907973E+05  1.286849E+06 -6.756129E+05 -3.242234E+05 -2.390378E+05  6.435849E+07
        24  13 -4.780061E+05 -8.168910E+04  1.473481E+05  1.785902E+05 -3.040216E+07  2.885191E+06
        24  14 -2.977547E+05  2.977547E+05  9.283652E-07 -1.469184E-07 -1.866943E+07  1.866943E+07
        24  15 -1.091017E+06  7.239911E+04 -2.787596E+06 -1.456333E+05 -6.934716E+06  4.354637E+07
        24  16 -1.286849E+06 -1.907973E+05  6.756129E+05  3.242234E+05 -6.435849E+07  2.390378E+05
        24  17 -7.239911E+04  1.091017E+06  2.787596E+06  1.456333E+05 -4.354637E+07  6.934716E+06
        24  18 -7.997480E+05  7.997480E+05  2.512022E-06 -1.028429E-06 -2.273071E+07  2.273071E+07
        24  19 -3.069670E+04  3.069670E+04  3.731919E-06  3.379123E-06 -4.744791E+06  4.744791E+06
        24  20  9.651605E+04  5.001048E+05 -1.362704E+05 -1.860355E+05 -2.474401E+06  2.608125E+07
        24  21  2.413656E+05  1.386353E+06 -6.305913E+05 -3.360257E+05 -2.035618E+05  5.521173E+07
        24  22 -5.001048E+05 -9.651605E+04  1.362704E+05  1.860355E+05 -2.608125E+07  2.474401E+06
        24  23 -3.008012E+05  3.008012E+05  2.120320E-08 -2.938367E-07 -1.601360E+07  1.601360E+07
        24  24 -1.052146E+06  1.466734E+05 -2.753652E+06 -1.499901E+05 -5.943961E+06  3.735445E+07
        24  25 -1.386353E+06 -2.413656E+05  6.305913E+05  3.360257E+05 -5.521173E+07  2.035618E+05
        24  26 -1.466734E+05  1.052146E+06  2.753652E+06  1.499901E+05 -3.735445E+07  5.943961E+06
        24  27 -8.259269E+05  8.259269E+05 -6.160010E-06 -3.526041E-06 -1.949363E+07  1.949363E+07
        25   1 -8.498232E+05  8.498232E+05  2.106020E-06  5.142143E-06  1.751672E+07 -1.751672E+07
        25   2 -2.936372E+04  1.204992E+06  3.117174E+06  1.543950E+05  3.355012E+07 -5.347462E+06
        25   3 -1.372341E+06 -1.934571E+05  7.765089E+05  3.459328E+05  4.958274E+07 -1.857559E+05
        25   4 -1.204992E+06  2.936372E+04 -3.117174E+06 -1.543950E+05  5.347462E+06 -3.355012E+07
        25   5 -3.102474E+05  3.102474E+05  2.421096E-06  2.203776E-06  1.438338E+07 -1.438338E+07
        25   6 -5.004556E+05 -8.400297E+04  1.757981E+05  1.915377E+05  2.341886E+07 -2.222701E+06
        25   7  1.934571E+05  1.372341E+06 -7.765089E+05 -3.459328E+05  1.857559E+05 -4.958274E+07
        25   8  8.400297E+04  5.004556E+05 -1.757981E+05 -1.915377E+05  2.222701E+06 -2.341886E+07
        25   9 -3.191990E+04  3.191990E+04  8.543304E-07  4.407551E-07  4.259546E+06 -4.259546E+06
        25  10 -8.891924E+05  8.891924E+05  3.379374E-06  1.322265E-06  1.406186E+07 -1.406186E+07
        25  11 -8.999232E+04  1.205174E+06  3.099040E+06  1.615591E+05  2.681021E+07 -4.328827E+06
        25  12 -1.449734E+06 -2.219734E+05  7.447361E+05  3.609430E+05  3.955779E+07 -1.653742E+05
        25  13 -1.205174E+06  8.999232E+04 -3.099040E+06 -1.615591E+05  4.328827E+06 -2.681021E+07
        25  14 -3.303248E+05  3.303248E+05  2.455144E-06  1.616102E-06  1.151360E+07 -1.151360E+07
        25  15 -5.359331E+05 -9.398834E+04  1.621593E+05  1.993839E+05  1.869793E+07 -1.785064E+06
        25  16  2.219734E+05  1.449734E+06 -7.447361E+05 -3.609430E+05  1.653742E+05 -3.955779E+07
        25  17  9.398834E+04  5.359331E+05 -1.621593E+05 -1.993839E+05  1.785064E+06 -1.869793E+07
        25  18 -3.597037E+04  3.597037E+04  1.141772E-06  1.175347E-06  3.404654E+06 -3.404654E+06
        25  19 -8.911260E+05  8.911260E+05  7.780015E-06  2.644531E-06  1.060699E+07 -1.060699E+07
        25  20 -1.009301E+05  1.196517E+06  3.093161E+06  1.605530E+05  2.007031E+07 -3.310193E+06
        25  21 -1.465181E+06 -2.307341E+05  7.374738E+05  3.596129E+05  2.953284E+07 -1.449925E+05
        25  22 -1.196517E+06  1.009301E+05 -3.093161E+06 -1.605530E+05  3.310193E+06 -2.007031E+07
        25  23 -3.293069E+05  3.293069E+05  3.472507E-06  1.616102E-06  8.643816E+06 -8.643816E+06
        25  24 -5.380601E+05 -9.647341E+04  1.607756E+05  1.990599E+05  1.397700E+07 -1.347427E+06
        25  25  2.307341E+05  1.465181E+06 -7.374738E+05 -3.596129E+05  1.449925E+05 -2.953284E+07
        25  26  9.647341E+04  5.380601E+05 -1.607756E+05 -1.990599E+05  1.347427E+06 -1.397700E+07
        25  27 -3.526591E+04  3.526591E+04 -3.312027E-07  1.763020E-06  2.549762E+06 -2.549762E+06
        26   1  1.372341E+06  1.934571E+05 -7.765089E+05  3.459328E+05  4.958274E+07  1.857559E+05
        26   2  2.936372E+04 -1.204992E+06 -3.117174E+06  1.543950E+05  3.355012E+07  5.347462E+06
        26   3  8.498232E+05 -8.498232E+05 -1.969566E-05  3.526041E-06  1.751672E+07  1.751672E+07
        26   4  5.004556E+05  8.400297E+04 -1.757981E+05  1.915377E+05  2.341886E+07  2.222701E+06
        26   5  3.102474E+05 -3.102474E+05 -8.591278E-06  2.497612E-06  1.438338E+07  1.438338E+07
        26   6  1.204992E+06 -2.936372E+04  3.117174E+06 -1.543950E+05  5.347462E+06  3.355012E+07
        26   7  3.191990E+04 -3.191990E+04  8.852409E-07  1.616102E-06  4.259546E+06  4.259546E+06
        26   8 -8.400297E+04 -5.004556E+05  1.757981E+05 -1.915377E+05  2.222701E+06  2.341886E+07
        26   9 -1.934571E+05 -1.372341E+06  7.765089E+05 -3.459328E+05  1.857559E+05  4.958274E+07
        26  10  1.449734E+06  2.219734E+05 -7.447361E+05  3.609430E+05  3.955779E+07  1.653742E+05
        26  11  8.999232E+04 -1.205174E+06 -3.099040E+06  1.615591E+05  2.681021E+07  4.328827E+06
        26  12  8.891924E+05 -8.891924E+05 -6.277088E-06  4.407551E-07  1.406186E+07  1.406186E+07
        26  13  5.359331E+05  9.398834E+04 -1.621593E+05  1.993839E+05  1.869793E+07  1.785064E+06
        26  14  3.303248E+05 -3.303248E+05 -3.938629E-06  1.763020E-06  1.151360E+07  1.151360E+07
        26  15  1.205174E+06 -8.999232E+04  3.099040E+06 -1.615591E+05  4.328827E+06  2.681021E+07
        26  16  3.597037E+04 -3.597037E+04  1.628346E-06  3.966796E-06  3.404654E+06  3.404654E+06
        26  17 -9.398834E+04 -5.359331E+05  1.621593E+05 -1.993839E+05  1.785064E+06  1.869793E+07
        26  18 -2.219734E+05 -1.449734E+06  7.447361E+05 -3.609430E+05  1.653742E+05  3.955779E+07
        26  19  1.465181E+06  2.307341E+05 -7.374738E+05  3.596129E+05  2.953284E+07  1.449925E+05
        26  20  1.009301E+05 -1.196517E+06 -3.093161E+06  1.605530E+05  2.007031E+07  3.310193E+06
        26  21  8.911260E+05 -8.911260E+05 -5.883926E-06  3.379123E-06  1.060699E+07  1.060699E+07
        26  22  5.380601E+05  9.647341E+04 -1.607756E+05  1.990599E+05  1.397700E+07  1.347427E+06
        26  23  3.293069E+05 -3.293069E+05 -1.844498E-06  2.350694E-06  8.643816E+06  8.643816E+06
        26  24  1.196517E+06 -1.009301E+05  3.093161E+06 -1.605530E+05  3.310193E+06  2.007031E+07
        26  25  3.526591E+04 -3.526591E+04  6.123778E-06  2.056857E-06  2.549762E+06  2.549762E+06
        26  26 -9.647341E+04 -5.380601E+05  1.607756E+05 -1.990599E+05  1.347427E+06  1.397700E+07
        26  27 -2.307341E+05 -1.465181E+06  7.374738E+05 -3.596129E+05  1.449925E+05  2.953284E+07
        27   1 -1.934571E+05 -1.372341E+06  7.765089E+05 -3.459328E+05 -1.857559E+05 -4.958274E+07
        27   2 -8.400297E+04 -5.004556E+05  1.757981E+05 -1.915377E+05 -2.222701E+06 -2.341886E+07
        27   3  3.191990E+04 -3.191990E+04  2.929023E-06 -8.815102E-07 -4.259546E+06 -4.259546E+06
        27   4  1.204992E+06 -2.936372E+04  3.117174E+06 -1.543950E+05 -5.347462E+06 -3.355012E+07
        27   5  3.102474E+05 -3.102474E+05  9.342723E-06  1.469184E-07 -1.438338E+07 -1.438338E+07
        27   6  5.004556E+05  8.400297E+04 -1.757981E+05  1.915377E+05 -2.341886E+07 -2.222701E+06
        27   7  8.498232E+05 -8.498232E+05  1.779605E-05 -1.469184E-07 -1.751672E+07 -1.751672E+07
        27   8  2.936372E+04 -1.204992E+06 -3.117174E+06  1.543950E+05 -3.355012E+07 -5.347462E+06
        27   9  1.372341E+06  1.934571E+05 -7.765089E+05  3.459328E+05 -4.958274E+07 -1.857559E+05
        27  10 -2.219734E+05 -1.449734E+06  7.447361E+05 -3.609430E+05 -1.653742E+05 -3.955779E+07
        27  11 -9.398834E+04 -5.359331E+05  1.621593E+05 -1.993839E+05 -1.785064E+06 -1.869793E+07
        27  12  3.597037E+04 -3.597037E+04  1.909262E-06  1.028429E-06 -3.404654E+06 -3.404654E+06
        27  13  1.205174E+06 -8.999232E+04  3.099040E+06 -1.615591E+05 -4.328827E+06 -2.681021E+07
        27  14  3.303248E+05 -3.303248E+05  6.117845E-06 -5.876735E-07 -1.151360E+07 -1.151360E+07
        27  15  5.359331E+05  9.398834E+04 -1.621593E+05  1.993839E+05 -1.869793E+07 -1.785064E+06
        27  16  8.891924E+05 -8.891924E+05  9.722689E-06 -1.763020E-06 -1.406186E+07 -1.406186E+07
        27  17  8.999232E+04 -1.205174E+06 -3.099040E+06  1.615591E+05 -2.681021E+07 -4.328827E+06
        27  18  1.449734E+06  2.219734E+05 -7.447361E+05  3.609430E+05 -3.955779E+07 -1.653742E+05
        27  19 -2.307341E+05 -1.465181E+06  7.374738E+05 -3.596129E+05 -1.449925E+05 -2.953284E+07
        27  20 -9.647341E+04 -5.380601E+05  1.607756E+05 -1.990599E+05 -1.347427E+06 -1.397700E+07
        27  21  3.526591E+04 -3.526591E+04  5.865441E-07  5.876735E-06 -2.549762E+06 -2.549762E+06
        27  22  1.196517E+06 -1.009301E+05  3.093161E+06 -1.605530E+05 -3.310193E+06 -2.007031E+07
        27  23  3.293069E+05 -3.293069E+05  2.511323E-06  2.644531E-06 -8.643816E+06 -8.643816E+06
        27  24  5.380601E+05  9.647341E+04 -1.607756E+05  1.990599E+05 -1.397700E+07 -1.347427E+06
        27  25  8.911260E+05 -8.911260E+05  1.621959E-06  1.616102E-06 -1.060699E+07 -1.060699E+07
        27  26  1.009301E+05 -1.196517E+06 -3.093161E+06  1.605530E+05 -2.007031E+07 -3.310193E+06
        27  27  1.465181E+06  2.307341E+05 -7.374738E+05  3.596129E+05 -2.953284E+07 -1.449925E+05
        28   1 -3.191990E+04  3.191990E+04  3.988535E-06  2.938367E-06 -4.259546E+06  4.259546E+06
        28   2  8.400297E+04  5.004556E+05 -1.757981E+05 -1.915377E+05 -2.222701E+06  2.341886E+07
        28   3  1.934571E+05  1.372341E+06 -7.765089E+05 -3.459328E+05 -1.857559E+05  4.958274E+07
        28   4 -5.004556E+05 -8.400297E+04  1.757981E+05  1.915377E+05 -2.341886E+07  2.222701E+06
        28   5 -3.102474E+05  3.102474E+05 -1.054995E-06  0.000000E+00 -1.438338E+07  1.438338E+07
        28   6 -1.204992E+06  2.936372E+04 -3.117174E+06 -1.543950E+05 -5.347462E+06  3.355012E+07
        28   7 -1.372341E+06 -1.934571E+05  7.765089E+05  3.459328E+05 -4.958274E+07  1.857559E+05
        28   8 -2.936372E+04  1.204992E+06  3.117174E+06  1.543950E+05 -3.355012E+07  5.347462E+06
        28   9 -8.498232E+05  8.498232E+05 -5.271807E-06 -3.819878E-06 -1.751672E+07  1.751672E+07
        28  10 -3.597037E+04  3.597037E+04  2.246426E-06  2.644531E-06 -3.404654E+06  3.404654E+06
        28  11  9.398834E+04  5.359331E+05 -1.621593E+05 -1.993839E+05 -1.785064E+06  1.869793E+07
        28  12  2.219734E+05  1.449734E+06 -7.447361E+05 -3.609430E+05 -1.653742E+05  3.955779E+07
        28  13 -5.359331E+05 -9.398834E+04  1.621593E+05  1.993839E+05 -1.869793E+07  1.785064E+06
        28  14 -3.303248E+05  3.303248E+05 -1.637492E-06  7.345919E-07 -1.151360E+07  1.151360E+07
        28  15 -1.205174E+06  8.999232E+04 -3.099040E+06 -1.615591E+05 -4.328827E+06  2.681021E+07
